order_id,region,amount,status,order_date
ORD0158,West,10.00,completed,2024-07-05
ORD0183,Central,11.26,cancelled,2024-07-27
ORD0124,West,147.02,cancelled,2024-07-26
ORD0123,West,153.97,completed,2024-09-27
ORD0193,Central,235.03,cancelled,2024-10-22
ORD0157,West,453.93,completed,2024-10-19
ORD0093,East,278.08,completed,2024-07-18
ORD0003,North,48.03,completed,2024-07-02
ORD0073,South,339.23,completed,2024-04-13
ORD0048,South,9.99,completed,2024-01-19
ORD0077,South,160.52,completed,2024-05-13
ORD0092,East,69.76,completed,2024-05-06
ORD0135,West,443.31,completed,2024-07-08
ORD0195,Central,426.22,cancelled,2024-03-16
ORD0190,Central,366.86,cancelled,2024-05-11
ORD0026,North,294.37,completed,2024-10-13
ORD0149,West,197.79,completed,2024-10-23
ORD0156,West,236.36,completed,2024-03-20
ORD0044,South,436.85,completed,2024-07-07
ORD0005,North,103.42,cancelled,2024-11-23
ORD0088,East,109.26,completed,2024-06-07
ORD0034,North,229.59,completed,2024-12-24
ORD0041,South,439.61,cancelled,2024-02-03
ORD0056,South,365.89,completed,2024-11-21
ORD0145,West,139.50,completed,2024-06-18
ORD0168,Central,420.42,cancelled,2024-10-05
ORD0141,West,225.73,completed,2024-03-24
ORD0014,North,387.67,completed,2024-02-28
ORD0046,South,202.50,completed,2024-11-21
ORD0028,North,379.11,completed,2024-02-05
ORD0008,North,142.55,completed,2024-04-25
ORD0175,Central,290.02,cancelled,2024-07-13
ORD0184,Central,247.65,cancelled,2024-07-12
ORD0013,North,9.99,completed,2024-02-02
ORD0089,East,427.19,completed,2024-09-16
ORD0194,Central,192.60,cancelled,2024-01-16
ORD0075,South,311.59,completed,2024-07-22
ORD0108,East,202.24,completed,2024-05-28
ORD0036,North,435.91,completed,2024-05-27
ORD0192,Central,441.41,cancelled,2024-04-25
ORD0130,West,404.25,completed,2024-03-01
ORD0096,East,68.09,cancelled,2024-05-12
ORD0134,West,329.75,completed,2024-01-25
ORD0082,East,9.99,completed,2024-06-10
ORD0132,West,230.43,completed,2024-11-19
ORD0116,East,9.99,completed,2024-11-24
ORD0185,Central,319.61,cancelled,2024-08-23
ORD0049,South,296.28,completed,2024-01-03
ORD0076,South,263.78,completed,2024-05-07
ORD0091,East,415.53,completed,2024-01-01
ORD0110,East,341.36,completed,2024-09-11
ORD0200,Central,124.47,cancelled,2024-07-16
ORD0119,East,424.77,completed,2024-12-10
ORD0084,East,493.68,completed,2024-11-17
ORD0095,East,418.12,completed,2024-10-18
ORD0033,North,322.28,completed,2024-02-10
ORD0118,East,474.69,completed,2024-06-20
ORD0022,North,137.53,completed,2024-04-19
ORD0102,East,369.60,cancelled,2024-06-26
ORD0055,South,218.37,cancelled,2024-07-14
ORD0196,Central,110.00,cancelled,2024-05-11
ORD0122,West,192.68,completed,2024-12-06
